time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-02-21T09:30:49.850Z,19.4015007,-155.2514954,1.04,2.66,ml,13,157,0.01317,0.26,hv,hv70820351,2019-02-21T09:36:32.050Z,"3km SSW of Volcano, Hawaii",earthquake,0.63,0.66,0.18,3,automatic,hv,hv
2019-02-21T08:52:20.630Z,52.3991,-168.539,28.9,4.2,mb,,183,1.897,1.18,us,us2000jl1p,2019-02-21T09:16:17.040Z,"63km SSE of Nikolski, Alaska",earthquake,9,8.4,0.071,54,reviewed,us,us
2019-02-21T08:52:03.720Z,13.4555,-89.7135,65.01,4.2,mb,,151,0.998,1.11,us,us2000jl1r,2019-02-21T09:28:40.688Z,"19km SE of Acajutla, El Salvador",earthquake,7.7,16.3,0.104,26,reviewed,us,us
2019-02-21T07:37:49.560Z,-20.8504,-70.6929,12.23,4.5,mb,,142,0.557,0.61,us,us2000jl0v,2019-02-21T07:55:14.040Z,"90km SW of Iquique, Chile",earthquake,4.5,2.4,0.145,14,reviewed,us,us
2019-02-21T06:57:25.030Z,66.3192,-157.2529,11.91,3.5,ml,,108,0.188,0.39,us,us2000jl0b,2019-02-21T07:34:19.040Z,"67km SSW of Kobuk, Alaska",earthquake,5.4,6.9,0.046,62,reviewed,us,us
2019-02-21T06:45:51.501Z,61.7161,-142.086,21.2,2.5,ml,,,,0.94,ak,ak0192e3sdkx,2019-02-21T06:50:46.001Z,"126km E of Chitina, Alaska",earthquake,,1.4,,,automatic,ak,ak
2019-02-21T06:45:40.740Z,60.6142,-146.2439,250,2.5,ml,,,,0.88,ak,ak0192e3sdn7,2019-02-21T06:50:45.372Z,"27km WNW of Cordova, Alaska",earthquake,,4.9,,,automatic,ak,ak
2019-02-21T06:45:28.034Z,59.5346,-152.9772,250,2.6,ml,,,,0.89,ak,ak0192e3sbu1,2019-02-21T06:50:44.684Z,"70km WSW of Anchor Point, Alaska",earthquake,,2.6,,,automatic,ak,ak
2019-02-21T06:45:27.280Z,60.489,-152.338,85.7,2.8,ml,,,,1.11,ak,ak0192e3scmw,2019-02-21T06:50:46.623Z,"22km E of Redoubt Volcano, Alaska",earthquake,,2.4,,,automatic,ak,ak
2019-02-21T06:45:18.941Z,58.1194,-155.5104,250,2.8,ml,,,,0.94,ak,ak0192e3s6wl,2019-02-21T06:52:27.209Z,"92km SE of King Salmon, Alaska",earthquake,,4.7,,,automatic,ak,ak
